配置,轮次,总耗时秒,平均延迟ms,P50ms,P90ms,P95ms,P99ms,最大ms,error0,error1009
size=10,1,2.33,988.88,352.91,2181.59,2201.89,2219.54,,1,0
size=10,2,2.312,984.05,234.68,2213.33,2237.97,2256.76,2264.15,0,1
size=10,3,2.037,881.19,215.86,1933.04,1954.41,1966.61,1972.54,0,1
size=10,4,1.391,592.0,227.01,1286.98,1312.11,1333.91,1336.94,1,0
size=10,5,2.578,1160.14,264.61,2484.91,2500.1,2514.45,2521.18,1,0
size=32,1,2.158,926.07,306.48,1875.47,1919.85,2046.64,2053.51,1,0
size=32,2,1.963,837.34,227.1,1872.4,1890.48,1904.84,1912.36,1,0
size=32,3,2.602,1157.53,334.12,2487.14,2516.6,2537.6,2547.94,1,0
size=32,4,2.534,1103.68,304.65,2428.11,2449.95,2470.42,2477.26,1,0
size=32,5,2.87,1294.71,293.67,2771.55,2786.02,2798.84,2808.13,0,1
